iter	RMSE
0	32.87048805
1	32.5393079
2	32.27818389
3	32.07338024
4	31.79616827
5	31.59506681
6	31.43718678
7	31.21090274
8	30.9989548
9	30.77599396
10	30.4815796
11	30.27108111
12	30.100334
13	29.87168558
14	29.6683091
15	29.47087254
16	29.3401244
17	29.15869474
18	28.89055324
19	28.7115508
20	28.44851177
21	28.19679518
22	28.01186931
23	27.83449016
24	27.59667165
25	27.39480192
26	27.23759315
27	27.07331328
28	26.88722081
29	26.71740404
30	26.49220897
31	26.30429499
32	26.13108956
33	25.94980055
34	25.83345641
35	25.62508288
36	25.45906642
37	25.27835134
38	25.13195096
39	24.96117908
40	24.87032067
41	24.6789416
42	24.53199051
43	24.40630028
44	24.29838347
45	24.12422527
46	23.97533145
47	23.86182915
48	23.68072546
49	23.48532654
50	23.36721345
51	23.23445629
52	23.10508635
53	22.95509962
54	22.81531844
55	22.63851004
56	22.52363447
57	22.41694765
58	22.26544648
59	22.12077604
60	21.95679494
61	21.80890857
62	21.68904986
63	21.54367365
64	21.43024832
65	21.31502765
66	21.24512438
67	21.11058452
68	21.0045968
69	20.89829569
70	20.75916882
71	20.61194482
72	20.53017481
73	20.39503498
74	20.31669317
75	20.23937907
76	20.11934626
77	19.99555126
78	19.88944551
79	19.80436575
80	19.70034318
81	19.62837131
82	19.56608778
83	19.46240867
84	19.34998665
85	19.24401846
86	19.14182665
87	19.05569111
88	18.98513293
89	18.84252499
90	18.70793929
91	18.60435241
92	18.46785022
93	18.40098855
94	18.28337319
95	18.21652626
96	18.12239883
97	18.05370243
98	17.96742603
99	17.89165346
100	17.80747521
101	17.66843528
102	17.60781846
103	17.51244663
104	17.40986516
105	17.31797491
106	17.23425035
107	17.13914231
108	17.0754225
109	16.98444015
110	16.93049531
111	16.84488499
112	16.7915465
113	16.69102564
114	16.56989875
115	16.49284491
116	16.44151579
117	16.37240719
118	16.3171663
119	16.25579262
120	16.17826311
121	16.12155549
122	16.02996531
123	15.95130599
124	15.87535642
125	15.75088875
126	15.64408741
127	15.53562253
128	15.41967564
129	15.32303821
130	15.26066273
131	15.2179862
132	15.15625712
133	15.04406323
134	14.96398833
135	14.92154736
136	14.85447946
137	14.75001856
138	14.68016418
139	14.61803746
140	14.59812208
141	14.51533811
142	14.44204176
143	14.34979186
144	14.27170711
145	14.23067111
146	14.15361996
147	14.05132912
148	13.98656865
149	13.90243233
150	13.82127652
151	13.75015204
152	13.68437687
153	13.61400733
154	13.56657977
155	13.483812
156	13.42598251
157	13.36562536
158	13.28136935
159	13.19970474
160	13.18652832
161	13.13875822
162	13.1120339
163	13.04370489
164	12.99012702
165	12.93127148
166	12.87344236
167	12.79833051
168	12.7476919
169	12.66488249
170	12.58163734
171	12.51823464
172	12.47041089
173	12.41122807
174	12.37838465
175	12.33257853
176	12.27736321
177	12.20159901
178	12.18364462
179	12.09720617
180	12.0192638
181	11.98057904
182	11.9238986
183	11.85465931
184	11.8110188
185	11.71163882
186	11.66471963
187	11.60466274
188	11.54817242
189	11.49202632
190	11.44041126
191	11.39521873
192	11.35393079
193	11.30138797
194	11.25700391
195	11.23659785
196	11.1878186
197	11.10768194
198	11.02871745
199	10.96867421
200	10.92022643
201	10.86896863
202	10.82754973
203	10.79191541
204	10.76128673
205	10.69325889
206	10.64040281
207	10.5878865
