iter	Passed	Remaining
0	55	55745
1	57	28694
2	59	19667
3	60	15149
4	62	12528
5	65	10808
6	67	9573
7	69	8565
8	71	7887
9	73	7260
10	75	6790
11	77	6354
12	80	6108
13	82	5779
14	83	5501
15	85	5261
16	87	5054
17	89	4855
18	90	4675
19	92	4511
20	93	4369
21	95	4264
22	97	4141
23	98	4025
24	100	3915
25	102	3831
26	103	3745
27	106	3693
28	108	3619
29	109	3549
30	110	3464
31	113	3425
32	114	3364
33	116	3311
34	118	3258
35	119	3210
36	121	3161
37	123	3130
38	126	3107
39	127	3068
40	129	3029
41	131	2990
42	134	2983
43	135	2949
44	137	2916
45	138	2881
46	140	2846
47	142	2821
48	144	2803
49	148	2816
50	149	2786
51	151	2760
52	153	2735
53	154	2709
54	156	2682
55	157	2656
56	160	2650
57	161	2622
58	164	2623
59	167	2617
60	168	2598
61	170	2582
62	172	2567
63	173	2543
64	175	2524
65	177	2506
66	178	2488
67	180	2477
68	183	2474
69	185	2458
70	186	2442
71	188	2427
72	191	2428
73	193	2421
74	194	2403
75	196	2389
76	198	2374
77	200	2366
78	201	2352
79	203	2339
80	205	2326
81	207	2322
82	209	2317
83	211	2310
84	212	2287
85	214	2283
86	216	2277
87	219	2272
88	221	2269
89	224	2269
90	225	2256
91	227	2244
92	228	2233
93	230	2222
94	232	2212
95	233	2203
96	235	2194
97	237	2189
98	239	2178
99	240	2168
100	242	2158
101	244	2150
102	245	2139
103	247	2130
104	248	2121
105	250	2114
106	252	2106
107	253	2096
108	255	2087
109	256	2077
110	259	2074
111	260	2066
112	261	2056
113	263	2044
114	264	2038
115	266	2030
116	268	2022
117	269	2015
118	271	2007
119	272	2001
120	276	2005
121	277	1997
122	279	1993
123	281	1991
124	283	1984
125	285	1977
126	286	1971
127	288	1963
128	289	1956
129	291	1950
130	292	1941
131	294	1933
132	295	1929
133	298	1928
134	300	1922
135	301	1915
136	302	1908
137	305	1906
138	308	1908
139	309	1902
140	311	1894
141	312	1888
142	314	1882
143	315	1877
